Divison,District,Upazila,"Lat,long",worker,citizen,Coordinator ,Planner,sensors,centers
Rajshahi,Bogura District,1. Adamdighi Upazila,"24.8335772, 89.0438527",worker1,citizen1,Coordinator1,Planner1,sensor1,center1
,,2. Bogura Sadar Upazila,"24.8481221, 89.37302550000001",worker2,citizen2,Coordinator2,Planner2,sensor2,center2
,,3. Dhunat Upazila,"24.6779694, 89.5403279",worker3,citizen3,Coordinator3,Planner3,sensor3,center3
,,4. Dhupchanchia Upazila,"24.8812002, 89.17774200000001",worker4,citizen4,Coordinator4,Planner4,sensor4,center4
,,5. Gabtali Upazila,"24.8794971, 89.4553088",worker5,citizen5,Coordinator5,Planner5,sensor5,center5
,,6. Kahaloo Upazila,"24.833136, 89.26885999999999",worker6,citizen6,Coordinator6,Planner6,sensor6,center6
,,7. Nandigram Upazila,"24.6455812, 89.2480041",worker7,citizen7,Coordinator7,Planner7,sensor7,center7
,,8. Sariakandi Upazila,"24.8887731, 89.5709844",worker8,citizen8,Coordinator8,Planner8,sensor8,center8
,,9. Shajahanpur Upazila,"24.7661428, 89.3837983",worker9,citizen9,Coordinator9,Planner9,sensor9,center9
,,10. Sherpur Upazila,"24.6599286, 89.42199",worker10,citizen10,Coordinator10,Planner10,sensor10,center10
,,11. Shibganj Upazila,"25.002018, 89.3219218",worker11,citizen11,Coordinator11,Planner11,sensor11,center11
,,12. Sonatola Upazila,"25.0400804, 89.49775819999999",worker12,citizen12,Coordinator12,Planner12,sensor12,center12
,,13. Mokamtola Upazila,"25.0129366, 89.36887999999999",worker13,citizen13,Coordinator13,Planner13,sensor13,center13
,Chapai Nawabganj District,1. Bholahat Upazila,"24.9169992, 88.1876676",worker14,citizen14,Coordinator14,Planner14,sensor14,center14
,,2. Gomastapur Upazila,"24.7933883, 88.2897742",worker15,citizen15,Coordinator15,Planner15,sensor15,center15
,,3. Nachole Upazila,"24.7326602, 88.4137279",worker16,citizen16,Coordinator16,Planner16,sensor16,center16
,,4. Nawabganj Sadar Upazila,"24.5925571, 88.2705311",worker17,citizen17,Coordinator17,Planner17,sensor17,center17
,,5. Shibganj Upazila,"25.002018, 89.3219218",worker18,citizen18,Coordinator18,Planner18,sensor18,center18
,Joypurhat District,1. Akkelpur Upazila,"24.9693195, 89.0202655",worker19,citizen19,Coordinator19,Planner19,sensor19,center19
,,2. Joypurhat Sadar Upazila,"25.1024205, 89.0269604",worker20,citizen20,Coordinator20,Planner20,sensor20,center20
,,3. Kalai Upazila,"25.0626219, 89.1746462",worker21,citizen21,Coordinator21,Planner21,sensor21,center21
,,4. Khetlal Upazila,"25.0385295, 89.11955309999999",worker22,citizen22,Coordinator22,Planner22,sensor22,center22
,,5. Panchbibi Upazila,"25.1858842, 89.0179122",worker23,citizen23,Coordinator23,Planner23,sensor23,center23
,Naogaon District,1. Atrai Upazila,"24.6121527, 88.9828998",worker24,citizen24,Coordinator24,Planner24,sensor24,center24
,,2. Badalgachhi Upazila,"24.9844254, 88.8587149",worker25,citizen25,Coordinator25,Planner25,sensor25,center25
,,3. Dhamoirhat Upazila,"25.1503961, 88.85150279999999",worker26,citizen26,Coordinator26,Planner26,sensor26,center26
,,4. Manda Upazila,"24.759933, 88.7029407",worker27,citizen27,Coordinator27,Planner27,sensor27,center27
,,5. Mohadevpur Upazila,"24.917338, 88.75173009999999",worker28,citizen28,Coordinator28,Planner28,sensor28,center28
,,6. Naogaon Sadar Upazila,"24.7936199, 88.9317702",worker29,citizen29,Coordinator29,Planner29,sensor29,center29
,,7. Niamatpur Upazila,"24.8355273, 88.5679981",worker30,citizen30,Coordinator30,Planner30,sensor30,center30
,,8. Patnitala Upazila,"25.0612282, 88.73247119999999",worker31,citizen31,Coordinator31,Planner31,sensor31,center31
,,9. Porsha Upazila,"25.0078982, 88.4925433",worker32,citizen32,Coordinator32,Planner32,sensor32,center32
,,10. Raninagar Upazila,"24.7284859, 88.95574979999999",worker33,citizen33,Coordinator33,Planner33,sensor33,center33
,,11. Sapahar Upazila,"25.1258991, 88.587932",worker34,citizen34,Coordinator34,Planner34,sensor34,center34
,Natore District,1. Bagatipara Upazila,"24.3032204, 88.9638615",worker35,citizen35,Coordinator35,Planner35,sensor35,center35
,,2. Baraigram Upazila,"24.3189424, 89.17186339999999",worker36,citizen36,Coordinator36,Planner36,sensor36,center36
,,3. Gurudaspur Upazila,"24.3683404, 89.23317639999999",worker37,citizen37,Coordinator37,Planner37,sensor37,center37
