Divison,District,Upazila,
Rajshahi,Bogura District,1. Adamdighi Upazila,
,,2. Bogura Sadar Upazila,
,,3. Dhunat Upazila,
,,4. Dhupchanchia Upazila,
,,5. Gabtali Upazila,
,,6. Kahaloo Upazila,
,,7. Nandigram Upazila,
,,8. Sariakandi Upazila,
,,9. Shajahanpur Upazila,
,,10. Sherpur Upazila,
,,11. Shibganj Upazila,
,,12. Sonatola Upazila,
,,13. Mokamtola Upazila,
,Chapai Nawabganj District,1. Bholahat Upazila,
,,2. Gomastapur Upazila,
,,3. Nachole Upazila,
,,4. Nawabganj Sadar Upazila,
,,5. Shibganj Upazila,
,Joypurhat District,1. Akkelpur Upazila,
,,2. Joypurhat Sadar Upazila,
,,3. Kalai Upazila,
,,4. Khetlal Upazila,
,,5. Panchbibi Upazila,
,Naogaon District,1. Atrai Upazila,
,,2. Badalgachhi Upazila,
,,3. Dhamoirhat Upazila,
,,4. Manda Upazila,
,,5. Mohadevpur Upazila,
,,6. Naogaon Sadar Upazila,
,,7. Niamatpur Upazila,
,,8. Patnitala Upazila,
,,9. Porsha Upazila,
,,10. Raninagar Upazila,
,,11. Sapahar Upazila,
,Natore District,1. Bagatipara Upazila,
,,2. Baraigram Upazila,
,,3. Gurudaspur Upazila,
,,4. Lalpur Upazila,
,,5. Naldanga Upazila,
,,6. Natore Sadar Upazila,
,,7. Singra Upazila,
,Pabna District,1. Atgharia Upazila,
,,2. Bera Upazila,
,,3. Bhangura Upazila,
,,4. Chatmohar Upazila,
,,5. Faridpur Upazila,
,,6. Ishwardi Upazila,
,,7. Pabna Sadar Upazila,
,,8. Santhia Upazila,
,,9. Sujanagar Upazila,
,Rajshahi District,1. Bagha Upazila,
,,2. Bagmara Upazila,
,,3. Charghat Upazila,
,,4. Durgapur Upazila,
,,5. Godagari Upazila,
,,6. Mohanpur Upazila,
,,7. Paba Upazila,
,,8. Puthia Upazila,
,,9. Tanore Upazila,
,Sirajganj District,1. Belkuchi Upazila,
,,2. Chauhali Upazila,
,,3. Kamarkhanda Upazila,
,,4. Kazipur Upazila,
,,5. Raiganj Upazila,
,,6. Shahjadpur Upazila,
,,7. Sirajganj Sadar Upazila,
,,8. Tarash Upazila,
,,9. Ullahpara Upazila,
Rangpur,Dinajpur District,1. Biral Upazila,
,,2. Birampur Upazila,
,,3. Birganj Upazila,
,,4. Bochaganj Upazila,
,,5. Chirirbandar Upazila,
,,6. Dinajpur Sadar Upazila,
,,7. Ghoraghat Upazila,
,,8. Hakimpur Upazila,
,,9. Kaharole Upazila,
,,10. Khansama Upazila,
,,11. Nawabganj Upazila,
,,12. Parbatipur Upazila,
,,13. Phulbari Upazila,
,Gaibandha District,1. Gaibandha Sadar Upazila,
,,2. Gobindaganj Upazila,
,,3. Palashbari Upazila,
,,4. Phulchhari Upazila,
,,5. Sadullapur Upazila,
,,6. Sughatta Upazila,
,,7. Sundarganj Upazila,
,Kurigram District,1. Bhurungamari Upazila,
,,2. Char Rajibpur Upazila,
,,3. Chilmari Upazila,
,,4. Kurigram Sadar Upazila,
,,5. Nageshwari Upazila,
,,6. Phulbari Upazila,
,,7. Rajarhat Upazila,
,,8. Raomari Upazila,
,,9. Ulipur Upazila,
,Lalmonirhat District,1. Aditmari Upazila,
,,2. Hatibandha Upazila,
,,3. Kaliganj Upazila,
,,4. Lalmonirhat Sadar Upazila,
,,5. Patgram Upazila,
,Nilphamari District,1. Dimla Upazila,
,,2. Domar Upazila,
,,3. Jaldhaka Upazila,
,,4. Kishoreganj Upazila,
,,5. Nilphamari Sadar Upazila,
,,6. Saidpur Upazila,
,Panchagarh District,1. Atwari Upazila,
,,2. Boda Upazila,
,,3. Debiganj Upazila,
,,4. Panchagarh Sadar Upazila,
,,5. Tetulia Upazila,
,Rangpur District,1. Badarganj Upazila,
,,2. Gangachhara Upazila,
,,3. Kaunia Upazila,
,,4. Mithapukur Upazila,
,,5. Pirgachha Upazila,
,,6. Pirganj Upazila,
,,7. Rangpur Sadar Upazila,
,,8. Taraganj Upazila,
,Thakurgaon District,1. Baliadangi Upazila,
,,2. Haripur Upazila,
,,3. Pirganj Upazila,
,,4. Ranisankail Upazila,
,,5. Thakurgaon Sadar Upazila,
,,6. Ruhia Upazila,
,,7. Bhully Upazila,
Mymensingh,Jamalpur District,1. Baksiganj Upazila,
,,2. Dewanganj Upazila,
,,3. Islampur Upazila,
,,4. Jamalpur Sadar Upazila,
,,5. Madarganj Upazila,
,,6. Melandaha Upazila,
,,7. Sarishabari Upazila,
,Mymensingh District,1. Bhaluka Upazila,
,,2. Dhobaura Upazila,
,,3. Fulbaria Upazila,
,,4. Gafargaon Upazila,
,,5. South Gafargaon Upazila,
,,6. Gauripur Upazila,
,,7. Haluaghat Upazila,
,,8. Ishwarganj Upazila,
,,9. Muktagachha Upazila,
,,10. Mymensingh Sadar Upazila,
,,11. Nandail Upazila,
,,12. Phulpur Upazila,
,,13. Tara Khanda Upazila,
,,14. Trishal Upazila,
,Netrokona District,1. Atpara Upazila,
,,2. Barhatta Upazila,
,,3. Durgapur Upazila,
,,4. Kalmakanda Upazila,
,,5. Khaliajuri Upazila,
,,6. Kendua Upazila,
,,7. Madan Upazila,
,,8. Mohanganj Upazila,
,,9. Netrokona Sadar Upazila,
,,10. Purbadhala Upazila,
,Sherpur District,1. Jhenaigati Upazila,
,,2. Nakla Upazila,
,,3. Nalitabari Upazila,
,,4. Sherpur Sadar Upazila,
,,5. Sreebardi Upazila,
Barisal,Barguna District,1. Amtali Upazila,
,,2. Bamna Upazila,
,,3. Barguna Sadar Upazila,
,,4. Betagi Upazila,
,,5. Patharghata Upazila,
,,6. Taltali Upazila,
,Barisal District,1. Agailjhara Upazila,
,,2. Babuganj Upazila,
,,3. Bakerganj Upazila,
,,4. Banaripara Upazila,
,,5. Barisal Sadar Upazila,
,,6. Gaurnadi Upazila,
,,7. Hizla Upazila,
,,8. Mehendiganj Upazila,
,,9. Muladi Upazila,
,,10. Wazirpur Upazila,
,Bhola District,1. Bhola Sadar Upazila,
,,2. Burhanuddin Upazila,
,,3. Char Fasson Upazila,
,,4. Daulatkhan Upazila,
,,5. Lalmohan Upazila,
,,6. Manpura Upazila,
,,7. Tazumuddin Upazila,
,Jhalokati District,1. Jhalokati Sadar Upazila,
,,2. Kathalia Upazila,
,,3. Nalchity Upazila,
,,4. Rajapur Upazila,
,Patuakhali District,1. Bauphal Upazila,
,,2. Dashmina Upazila,
,,3. Dumki Upazila,
,,4. Galachipa Upazila,
,,5. Kalapara Upazila,
,,6. Mirzaganj Upazila,
,,7. Patuakhali Sadar Upazila,
,,8. Rangabali Upazila,
,Pirojpur District,1. Bhandaria Upazila,
,,2. Indurkani Upazila,
,,3. Kawkhali Upazila,
,,4. Mathbaria Upazila,
,,5. Nazirpur Upazila,
,,6. Nesarabad (Swarupkati) Upazila,
,,7. Pirojpur Sadar Upazila,
Chittagong,Bandarban District,1. Ali Kadam Upazila,
,,2. Bandarban Sadar Upazila,
,,3. Lama Upazila,
,,4. Naikhongchhari Upazila,
,,5. Rowangchhari Upazila,
,,6. Ruma Upazila,
,,7. Thanchi Upazila,
,Brahmanbaria District,1. Akhaura Upazila,
,,2. Bancharampur Upazila,
,,3. Brahmanbaria Sadar Upazila,
,,4. Kasba Upazila,
,,5. Nabinagar Upazila,
,,6. Nasirnagar Upazila,
,,7. Sarail Upazila,
,,8. Ashuganj Upazila,
,,9. Bijoynagar Upazila,
,Chandpur District,1. Chandpur Sadar Upazila,
,,2. Faridganj Upazila,
,,3. Haimchar Upazila,
,,4. Haziganj Upazila,
,,5. Kachua Upazila,
,,6. Matlab Dakshin Upazila,
,,7. Matlab Uttar Upazila,
,,8. Shahrasti Upazila,
,Chittagong District,1. Anwara Upazila,
,,2. Banshkhali Upazila,
